 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      100  0.9800000E+02  0.10000E+01    2      291     0    -5     T
      101  0.9900000E+02  0.10000E+01    4      295     0    -5     T
      102  0.1000000E+03  0.10000E+01    4      299     0    -5     T
      103  0.1010000E+03  0.10000E+01    4      303     0    -5     T
      104  0.1020000E+03  0.10000E+01    4      307     0    -5     T
      105  0.1030000E+03  0.10000E+01    2      309     0    -5     T
      106  0.1040000E+03  0.10000E+01    2      311     0    -5     T
      107  0.1050000E+03  0.10000E+01    2      313     0    -5     T
      108  0.1060000E+03  0.10000E+01    2      315     0    -5     T
      109  0.1070000E+03  0.10000E+01    2      317     0    -5     T
      110  0.1080000E+03  0.10000E+01    5      322     0    -5     T
      111  0.1090000E+03  0.10000E+01    4      326     0    -5     T
      112  0.1100000E+03  0.10000E+01    4      330     0    -5     T
      113  0.1110000E+03  0.10000E+01    2      332     0    -5     T
      114  0.1120000E+03  0.10000E+01    2      334     0    -5     T
      115  0.1130000E+03  0.10000E+01    2      336     0    -5     T
      116  0.1140000E+03  0.10000E+01    2      338     0    -5     T
      117  0.1150000E+03  0.10000E+01    2      340     0    -5     T
      118  0.1160000E+03  0.10000E+01    2      342     0    -5     T
      119  0.1170000E+03  0.10000E+01    2      344     0    -5     T
      120  0.1180000E+03  0.10000E+01    2      346     0    -5     T
      121  0.1190000E+03  0.10000E+01    2      348     0    -5     T
      122  0.1200000E+03  0.10000E+01    2      350     0    -5     T
      123  0.1210000E+03  0.10000E+01    2      352     0    -5     T
      124  0.1220000E+03  0.10000E+01    2      354     0    -5     T
      125  0.1230000E+03  0.10000E+01    2      356     0    -5     T
      126  0.1240000E+03  0.10000E+01    2      358     0    -5     T
      127  0.1250000E+03  0.10000E+01    2      360     0    -5     T
      128  0.1260000E+03  0.10000E+01    2      362     0    -5     T
      129  0.1270000E+03  0.10000E+01    2      364     0    -5     T
      130  0.1280000E+03  0.10000E+01    2      366     0    -5     T
      131  0.1290000E+03  0.10000E+01    2      368     0    -5     T
      132  0.1300000E+03  0.10000E+01    2      370     0    -5     T
      133  0.1310000E+03  0.10000E+01    2      372     0    -5     T
      134  0.1320000E+03  0.10000E+01    2      374     0    -5     T
      135  0.1330000E+03  0.10000E+01    2      376     0    -5     T
      136  0.1340000E+03  0.10000E+01    2      378     0    -5     T
      137  0.1350000E+03  0.10000E+01    2      380     0    -5     T
      138  0.1360000E+03  0.10000E+01    2      382     0    -5     T
      139  0.1370000E+03  0.10000E+01    2      384     0    -5     T
      140  0.1380000E+03  0.10000E+01    2      386     0    -5     T
      141  0.1390000E+03  0.10000E+01    2      388     0    -5     T
      142  0.1400000E+03  0.10000E+01    2      390     0    -5     T
      143  0.1410000E+03  0.10000E+01    2      392     0    -5     T
      144  0.1420000E+03  0.10000E+01    2      394     0    -5     T
      145  0.1430000E+03  0.10000E+01    4      398     0    -5     T
      146  0.1440000E+03  0.10000E+01    4      402     0    -5     T
      147  0.1450000E+03  0.10000E+01    2      404     0    -5     T
      148  0.1460000E+03  0.10000E+01    2      406     0    -5     T
      149  0.1470000E+03  0.10000E+01    5      411     0    -5     T
      150  0.1480000E+03  0.10000E+01    4      415     0    -5     T
      151  0.1490000E+03  0.10000E+01    3      418     0    -5     T
      152  0.1500000E+03  0.10000E+01    2      420     0    -5     T
      153  0.1510000E+03  0.10000E+01    7      427     0    -5     T
      154  0.1515000E+03  0.50000E+00    6      433     0    -5     T
      155  0.1520000E+03  0.50000E+00    4      437     0    -5     T
      156  0.1525000E+03  0.50000E+00    4      441     0    -5     T
      157  0.1530000E+03  0.50000E+00    2      443     0    -5     T
      158  0.1540000E+03  0.10000E+01    2      445     0    -5     T
      159  0.1550000E+03  0.10000E+01    2      447     0    -5     T
      160  0.1560000E+03  0.10000E+01    2      449     0    -5     T
      161  0.1570000E+03  0.10000E+01    2      451     0    -5     T
