 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      763  0.6560000E+03  0.50000E+00    2     2165     0    -5     T
      764  0.6565000E+03  0.50000E+00    4     2169     0    -5     T
      765  0.6570000E+03  0.50000E+00    3     2172     0    -5     T
      766  0.6575000E+03  0.50000E+00    4     2176     0    -5     T
      767  0.6580000E+03  0.50000E+00    2     2178     0    -5     T
      768  0.6590000E+03  0.10000E+01    2     2180     0    -5     T
      769  0.6600000E+03  0.10000E+01    2     2182     0    -5     T
      770  0.6610000E+03  0.10000E+01    2     2184     0    -5     T
      771  0.6620000E+03  0.10000E+01    2     2186     0    -5     T
      772  0.6630000E+03  0.10000E+01    2     2188     0    -5     T
      773  0.6635000E+03  0.50000E+00    8     2196     0    -5     T
      774  0.6640000E+03  0.50000E+00    7     2203     0    -5     T
      775  0.6643333E+03  0.33333E+00    6     2209     0    -5     T
      776  0.6646667E+03  0.33333E+00    4     2213     0    -5     T
      777  0.6650000E+03  0.33333E+00    4     2217     0    -5     T
      778  0.6653333E+03  0.33333E+00    4     2221     0    -5     T
      779  0.6656667E+03  0.33333E+00    2     2223     0    -5     T
      780  0.6660000E+03  0.33333E+00    2     2225     0    -5     T
      781  0.6663333E+03  0.33333E+00    2     2227     0    -5     T
      782  0.6670000E+03  0.66667E+00    3     2230     0    -5     T
      783  0.6675000E+03  0.50000E+00    2     2232     0    -5     T
      784  0.6680000E+03  0.50000E+00    2     2234     0    -5     T
      785  0.6685000E+03  0.50000E+00    2     2236     0    -5     T
      786  0.6690000E+03  0.50000E+00    2     2238     0    -5     T
      787  0.6700000E+03  0.10000E+01    4     2242     0    -5     T
      788  0.6705000E+03  0.50000E+00    2     2244     0    -5     T
      789  0.6710000E+03  0.50000E+00    2     2246     0    -5     T
      790  0.6720000E+03  0.10000E+01    2     2248     0    -5     T
      791  0.6730000E+03  0.10000E+01    2     2250     0    -5     T
      792  0.6740000E+03  0.10000E+01    2     2252     0    -5     T
      793  0.6750000E+03  0.10000E+01    2     2254     0    -5     T
      794  0.6760000E+03  0.10000E+01    2     2256     0    -5     T
      795  0.6765000E+03  0.50000E+00    4     2260     0    -5     T
      796  0.6770000E+03  0.50000E+00    2     2262     0    -5     T
      797  0.6775000E+03  0.50000E+00    4     2266     0    -5     T
      798  0.6780000E+03  0.50000E+00    4     2270     0    -5     T
      799  0.6790000E+03  0.10000E+01    4     2274     0    -5     T
      800  0.6795000E+03  0.50000E+00    2     2276     0    -5     T
      801  0.6800000E+03  0.50000E+00    2     2278     0    -5     T
      802  0.6810000E+03  0.10000E+01    2     2280     0    -5     T
      803  0.6820000E+03  0.10000E+01    2     2282     0    -5     T
      804  0.6825000E+03  0.50000E+00    2     2284     0    -5     T
      805  0.6830000E+03  0.50000E+00    2     2286     0    -5     T
      806  0.6835000E+03  0.50000E+00    4     2290     0    -5     T
      807  0.6840000E+03  0.50000E+00    4     2294     0    -5     T
      808  0.6850000E+03  0.10000E+01    4     2298     0    -5     T
      809  0.6855000E+03  0.50000E+00    2     2300     0    -5     T
      810  0.6860000E+03  0.50000E+00    2     2302     0    -5     T
      811  0.6870000E+03  0.10000E+01    2     2304     0    -5     T
      812  0.6880000E+03  0.10000E+01    2     2306     0    -5     T
      813  0.6890000E+03  0.10000E+01    2     2308     0    -5     T
      814  0.6900000E+03  0.10000E+01    2     2310     0    -5     T
      815  0.6910000E+03  0.10000E+01    2     2312     0    -5     T
      816  0.6920000E+03  0.10000E+01    2     2314     0    -5     T
      817  0.6930000E+03  0.10000E+01    2     2316     0    -5     T
      818  0.6940000E+03  0.10000E+01    2     2318     0    -5     T
      819  0.6950000E+03  0.10000E+01    2     2320     0    -5     T
      820  0.6960000E+03  0.10000E+01    2     2322     0    -5     T
      821  0.6970000E+03  0.10000E+01    2     2324     0    -5     T
      822  0.6980000E+03  0.10000E+01    2     2326     0    -5     T
      823  0.6990000E+03  0.10000E+01    2     2328     0    -5     T
      824  0.7000000E+03  0.10000E+01    2     2330     0    -5     T
      825  0.7010000E+03  0.10000E+01    2     2332     0    -5     T
      826  0.7015000E+03  0.50000E+00    4     2336     0    -5     T
      827  0.7020000E+03  0.50000E+00    2     2338     0    -5     T
      828  0.7030000E+03  0.10000E+01    2     2340     0    -5     T
      829  0.7040000E+03  0.10000E+01    4     2344     0    -5     T
      830  0.7050000E+03  0.10000E+01    2     2346     0    -5     T
      831  0.7055000E+03  0.50000E+00    2     2348     0    -5     T
      832  0.7060000E+03  0.50000E+00    2     2350     0    -5     T
      833  0.7070000E+03  0.10000E+01    2     2352     0    -5     T
      834  0.7080000E+03  0.10000E+01    2     2354     0    -5     T
      835  0.7085000E+03  0.50000E+00    2     2356     0    -5     T
      836  0.7090000E+03  0.50000E+00    2     2358     0    -5     T
      837  0.7100000E+03  0.10000E+01    2     2360     0    -5     T
      838  0.7110000E+03  0.10000E+01    2     2362     0    -5     T
      839  0.7115000E+03  0.50000E+00    3     2365     0    -5     T
      840  0.7120000E+03  0.50000E+00    2     2367     0    -5     T
      841  0.7130000E+03  0.10000E+01    2     2369     0    -5     T
      842  0.7140000E+03  0.10000E+01    2     2371     0    -5     T
      843  0.7150000E+03  0.10000E+01    2     2373     0    -5     T
      844  0.7160000E+03  0.10000E+01    2     2375     0    -5     T
      845  0.7170000E+03  0.10000E+01    2     2377     0    -5     T
      846  0.7180000E+03  0.10000E+01    2     2379     0    -5     T
      847  0.7190000E+03  0.10000E+01    2     2381     0    -5     T
      848  0.7200000E+03  0.10000E+01    2     2383     0    -5     T
      849  0.7210000E+03  0.10000E+01    2     2385     0    -5     T
      850  0.7220000E+03  0.10000E+01    2     2387     0    -5     T
      851  0.7230000E+03  0.10000E+01    2     2389     0    -5     T
      852  0.7240000E+03  0.10000E+01    2     2391     0    -5     T
      853  0.7250000E+03  0.10000E+01    2     2393     0    -5     T
      854  0.7260000E+03  0.10000E+01    2     2395     0    -5     T
      855  0.7265000E+03  0.50000E+00    2     2397     0    -5     T
      856  0.7270000E+03  0.50000E+00    2     2399     0    -5     T
      857  0.7280000E+03  0.10000E+01    4     2403     0    -5     T
      858  0.7290000E+03  0.10000E+01    2     2405     0    -5     T
      859  0.7300000E+03  0.10000E+01    2     2407     0    -5     T
      860  0.7310000E+03  0.10000E+01    2     2409     0    -5     T
      861  0.7315000E+03  0.50000E+00    4     2413     0    -5     T
      862  0.7320000E+03  0.50000E+00    2     2415     0    -5     T
      863  0.7330000E+03  0.10000E+01    4     2419     0    -5     T
      864  0.7340000E+03  0.10000E+01    2     2421     0    -5     T
      865  0.7350000E+03  0.10000E+01    2     2423     0    -5     T
      866  0.7355000E+03  0.50000E+00    2     2425     0    -5     T
      867  0.7360000E+03  0.50000E+00    2     2427     0    -5     T
      868  0.7370000E+03  0.10000E+01    4     2431     0    -5     T
      869  0.7380000E+03  0.10000E+01    2     2433     0    -5     T
      870  0.7385000E+03  0.50000E+00    2     2435     0    -5     T
      871  0.7390000E+03  0.50000E+00    2     2437     0    -5     T
      872  0.7400000E+03  0.10000E+01    4     2441     0    -5     T
      873  0.7410000E+03  0.10000E+01    2     2443     0    -5     T
      874  0.7420000E+03  0.10000E+01    2     2445     0    -5     T
      875  0.7430000E+03  0.10000E+01    2     2447     0    -5     T
      876  0.7440000E+03  0.10000E+01    2     2449     0    -5     T
      877  0.7445000E+03  0.50000E+00    4     2453     0    -5     T
      878  0.7450000E+03  0.50000E+00    2     2455     0    -5     T
      879  0.7460000E+03  0.10000E+01    4     2459     0    -5     T
      880  0.7470000E+03  0.10000E+01    2     2461     0    -5     T
      881  0.7475000E+03  0.50000E+00    2     2463     0    -5     T
      882  0.7480000E+03  0.50000E+00    2     2465     0    -5     T
      883  0.7490000E+03  0.10000E+01    4     2469     0    -5     T
      884  0.7500000E+03  0.10000E+01    2     2471     0    -5     T
      885  0.7510000E+03  0.10000E+01    2     2473     0    -5     T
      886  0.7520000E+03  0.10000E+01    2     2475     0    -5     T
      887  0.7530000E+03  0.10000E+01    2     2477     0    -5     T
      888  0.7540000E+03  0.10000E+01    2     2479     0    -5     T
      889  0.7550000E+03  0.10000E+01    2     2481     0    -5     T
      890  0.7560000E+03  0.10000E+01    2     2483     0    -5     T
      891  0.7570000E+03  0.10000E+01    2     2485     0    -5     T
      892  0.7580000E+03  0.10000E+01    2     2487     0    -5     T
      893  0.7590000E+03  0.10000E+01    2     2489     0    -5     T
      894  0.7600000E+03  0.10000E+01    2     2491     0    -5     T
      895  0.7610000E+03  0.10000E+01    2     2493     0    -5     T
      896  0.7615000E+03  0.50000E+00    4     2497     0    -5     T
      897  0.7620000E+03  0.50000E+00    2     2499     0    -5     T
      898  0.7630000E+03  0.10000E+01    3     2502     0    -5     T
      899  0.7640000E+03  0.10000E+01    4     2506     0    -5     T
      900  0.7650000E+03  0.10000E+01    2     2508     0    -5     T
      901  0.7660000E+03  0.10000E+01    2     2510     0    -5     T
      902  0.7670000E+03  0.10000E+01    2     2512     0    -5     T
      903  0.7680000E+03  0.10000E+01    2     2514     0    -5     T
      904  0.7685000E+03  0.50000E+00    4     2518     0    -5     T
      905  0.7690000E+03  0.50000E+00    2     2520     0    -5     T
      906  0.7700000E+03  0.10000E+01    4     2524     0    -5     T
      907  0.7705000E+03  0.50000E+00    2     2526     0    -5     T
      908  0.7710000E+03  0.50000E+00    2     2528     0    -5     T
      909  0.7720000E+03  0.10000E+01    2     2530     0    -5     T
      910  0.7730000E+03  0.10000E+01    2     2532     0    -5     T
      911  0.7740000E+03  0.10000E+01    2     2534     0    -5     T
      912  0.7750000E+03  0.10000E+01    2     2536     0    -5     T
      913  0.7760000E+03  0.10000E+01    2     2538     0    -5     T
      914  0.7770000E+03  0.10000E+01    2     2540     0    -5     T
      915  0.7780000E+03  0.10000E+01    2     2542     0    -5     T
      916  0.7790000E+03  0.10000E+01    2     2544     0    -5     T
      917  0.7800000E+03  0.10000E+01    2     2546     0    -5     T
      918  0.7810000E+03  0.10000E+01    2     2548     0    -5     T
      919  0.7815000E+03  0.50000E+00    4     2552     0    -5     T
      920  0.7820000E+03  0.50000E+00    2     2554     0    -5     T
      921  0.7830000E+03  0.10000E+01    2     2556     0    -5     T
      922  0.7835000E+03  0.50000E+00    4     2560     0    -5     T
      923  0.7840000E+03  0.50000E+00    3     2563     0    -5     T
      924  0.7850000E+03  0.10000E+01    4     2567     0    -5     T
      925  0.7855000E+03  0.50000E+00    4     2571     0    -5     T
      926  0.7860000E+03  0.50000E+00    2     2573     0    -5     T
      927  0.7870000E+03  0.10000E+01    2     2575     0    -5     T
      928  0.7880000E+03  0.10000E+01    2     2577     0    -5     T
      929  0.7885000E+03  0.50000E+00    2     2579     0    -5     T
      930  0.7890000E+03  0.50000E+00    2     2581     0    -5     T
      931  0.7900000E+03  0.10000E+01    2     2583     0    -5     T
      932  0.7910000E+03  0.10000E+01    4     2587     0    -5     T
      933  0.7915000E+03  0.50000E+00    4     2591     0    -5     T
      934  0.7920000E+03  0.50000E+00    2     2593     0    -5     T
      935  0.7930000E+03  0.10000E+01    3     2596     0    -5     T
      936  0.7935000E+03  0.50000E+00    3     2599     0    -5     T
      937  0.7940000E+03  0.50000E+00    2     2601     0    -5     T
      938  0.7945000E+03  0.50000E+00    4     2605     0    -5     T
      939  0.7950000E+03  0.50000E+00    4     2609     0    -5     T
      940  0.7960000E+03  0.10000E+01    4     2613     0    -5     T
      941  0.7965000E+03  0.50000E+00    5     2618     0    -5     T
      942  0.7970000E+03  0.50000E+00    4     2622     0    -5     T
      943  0.7980000E+03  0.10000E+01    4     2626     0    -5     T
      944  0.7985000E+03  0.50000E+00    4     2630     0    -5     T
      945  0.7990000E+03  0.50000E+00    2     2632     0    -5     T
      946  0.8000000E+03  0.10000E+01    3     2635     0    -5     T
      947  0.8005000E+03  0.50000E+00    3     2638     0    -5     T
      948  0.8010000E+03  0.50000E+00    2     2640     0    -5     T
      949  0.8020000E+03  0.10000E+01    3     2643     0    -5     T
      950  0.8030000E+03  0.10000E+01    2     2645     0    -5     T
      951  0.8040000E+03  0.10000E+01    2     2647     0    -5     T
      952  0.8050000E+03  0.10000E+01    2     2649     0    -5     T
      953  0.8055000E+03  0.50000E+00    4     2653     0    -5     T
      954  0.8060000E+03  0.50000E+00    4     2657     0    -5     T
      955  0.8065000E+03  0.50000E+00    4     2661     0    -5     T
      956  0.8070000E+03  0.50000E+00    2     2663     0    -5     T
      957  0.8080000E+03  0.10000E+01    3     2666     0    -5     T
      958  0.8090000E+03  0.10000E+01    2     2668     0    -5     T
      959  0.8100000E+03  0.10000E+01    2     2670     0    -5     T
      960  0.8110000E+03  0.10000E+01    2     2672     0    -5     T
      961  0.8120000E+03  0.10000E+01    2     2674     0    -5     T
      962  0.8130000E+03  0.10000E+01    2     2676     0    -5     T
      963  0.8140000E+03  0.10000E+01    2     2678     0    -5     T
      964  0.8150000E+03  0.10000E+01    2     2680     0    -5     T
      965  0.8160000E+03  0.10000E+01    2     2682     0    -5     T
      966  0.8170000E+03  0.10000E+01    2     2684     0    -5     T
      967  0.8175000E+03  0.50000E+00    2     2686     0    -5     T
      968  0.8180000E+03  0.50000E+00    2     2688     0    -5     T
      969  0.8190000E+03  0.10000E+01    4     2692     0    -5     T
      970  0.8200000E+03  0.10000E+01    2     2694     0    -5     T
      971  0.8210000E+03  0.10000E+01    2     2696     0    -5     T
      972  0.8220000E+03  0.10000E+01    2     2698     0    -5     T
      973  0.8230000E+03  0.10000E+01    2     2700     0    -5     T
      974  0.8240000E+03  0.10000E+01    2     2702     0    -5     T
      975  0.8250000E+03  0.10000E+01    2     2704     0    -5     T
      976  0.8260000E+03  0.10000E+01    2     2706     0    -5     T
      977  0.8265000E+03  0.50000E+00    4     2710     0    -5     T
      978  0.8270000E+03  0.50000E+00    2     2712     0    -5     T
      979  0.8280000E+03  0.10000E+01    2     2714     0    -5     T
      980  0.8290000E+03  0.10000E+01    2     2716     0    -5     T
      981  0.8300000E+03  0.10000E+01    2     2718     0    -5     T
      982  0.8305000E+03  0.50000E+00    4     2722     0    -5     T
      983  0.8310000E+03  0.50000E+00    2     2724     0    -5     T
      984  0.8320000E+03  0.10000E+01    2     2726     0    -5     T
      985  0.8330000E+03  0.10000E+01    2     2728     0    -5     T
      986  0.8340000E+03  0.10000E+01    2     2730     0    -5     T
      987  0.8350000E+03  0.10000E+01    2     2732     0    -5     T
      988  0.8360000E+03  0.10000E+01    2     2734     0    -5     T
      989  0.8370000E+03  0.10000E+01    2     2736     0    -5     T
      990  0.8380000E+03  0.10000E+01    2     2738     0    -5     T
      991  0.8390000E+03  0.10000E+01    2     2740     0    -5     T
      992  0.8400000E+03  0.10000E+01    2     2742     0    -5     T
      993  0.8405000E+03  0.50000E+00    4     2746     0    -5     T
      994  0.8410000E+03  0.50000E+00    4     2750     0    -5     T
      995  0.8420000E+03  0.10000E+01    4     2754     0    -5     T
      996  0.8425000E+03  0.50000E+00    4     2758     0    -5     T
      997  0.8430000E+03  0.50000E+00    2     2760     0    -5     T
      998  0.8435000E+03  0.50000E+00    4     2764     0    -5     T
      999  0.8440000E+03  0.50000E+00    4     2768     0    -5     T
     1000  0.8450000E+03  0.10000E+01    5     2773     0    -5     T
     1001  0.8455000E+03  0.50000E+00    2     2775     0    -5     T
     1002  0.8460000E+03  0.50000E+00    2     2777     0    -5     T
     1003  0.8470000E+03  0.10000E+01    2     2779     0    -5     T
     1004  0.8475000E+03  0.50000E+00    2     2781     0    -5     T
     1005  0.8480000E+03  0.50000E+00    2     2783     0    -5     T
     1006  0.8490000E+03  0.10000E+01    2     2785     0    -5     T
     1007  0.8500000E+03  0.10000E+01    2     2787     0    -5     T
     1008  0.8510000E+03  0.10000E+01    2     2789     0    -5     T
     1009  0.8520000E+03  0.10000E+01    2     2791     0    -5     T
     1010  0.8530000E+03  0.10000E+01    2     2793     0    -5     T
     1011  0.8535000E+03  0.50000E+00    4     2797     0    -5     T
     1012  0.8540000E+03  0.50000E+00    2     2799     0    -5     T
     1013  0.8550000E+03  0.10000E+01    4     2803     0    -5     T
     1014  0.8560000E+03  0.10000E+01    2     2805     0    -5     T
     1015  0.8565000E+03  0.50000E+00    4     2809     0    -5     T
     1016  0.8570000E+03  0.50000E+00    2     2811     0    -5     T
     1017  0.8580000E+03  0.10000E+01    4     2815     0    -5     T
     1018  0.8590000E+03  0.10000E+01    2     2817     0    -5     T
     1019  0.8600000E+03  0.10000E+01    2     2819     0    -5     T
     1020  0.8605000E+03  0.50000E+00    4     2823     0    -5     T
     1021  0.8610000E+03  0.50000E+00    2     2825     0    -5     T
     1022  0.8620000E+03  0.10000E+01    2     2827     0    -5     T
     1023  0.8630000E+03  0.10000E+01    2     2829     0    -5     T
     1024  0.8640000E+03  0.10000E+01    2     2831     0    -5     T
     1025  0.8645000E+03  0.50000E+00    4     2835     0    -5     T
     1026  0.8650000E+03  0.50000E+00    4     2839     0    -5     T
     1027  0.8660000E+03  0.10000E+01    4     2843     0    -5     T
     1028  0.8670000E+03  0.10000E+01    2     2845     0    -5     T
     1029  0.8680000E+03  0.10000E+01    2     2847     0    -5     T
     1030  0.8690000E+03  0.10000E+01    2     2849     0    -5     T
     1031  0.8700000E+03  0.10000E+01    2     2851     0    -5     T
     1032  0.8710000E+03  0.10000E+01    2     2853     0    -5     T
     1033  0.8720000E+03  0.10000E+01    2     2855     0    -5     T
     1034  0.8730000E+03  0.10000E+01    2     2857     0    -5     T
     1035  0.8740000E+03  0.10000E+01    2     2859     0    -5     T
     1036  0.8750000E+03  0.10000E+01    2     2861     0    -5     T
     1037  0.8755000E+03  0.50000E+00    4     2865     0    -5     T
     1038  0.8760000E+03  0.50000E+00    4     2869     0    -5     T
     1039  0.8765000E+03  0.50000E+00    4     2873     0    -5     T
     1040  0.8770000E+03  0.50000E+00    2     2875     0    -5     T
     1041  0.8780000E+03  0.10000E+01    2     2877     0    -5     T
     1042  0.8790000E+03  0.10000E+01    2     2879     0    -5     T
     1043  0.8800000E+03  0.10000E+01    2     2881     0    -5     T
     1044  0.8810000E+03  0.10000E+01    2     2883     0    -5     T
     1045  0.8820000E+03  0.10000E+01    2     2885     0    -5     T
     1046  0.8830000E+03  0.10000E+01    2     2887     0    -5     T
     1047  0.8840000E+03  0.10000E+01    2     2889     0    -5     T
     1048  0.8845000E+03  0.50000E+00    4     2893     0    -5     T
     1049  0.8850000E+03  0.50000E+00    3     2896     0    -5     T
     1050  0.8855000E+03  0.50000E+00    4     2900     0    -5     T
     1051  0.8860000E+03  0.50000E+00    2     2902     0    -5     T
     1052  0.8870000E+03  0.10000E+01    2     2904     0    -5     T
     1053  0.8880000E+03  0.10000E+01    2     2906     0    -5     T
     1054  0.8890000E+03  0.10000E+01    2     2908     0    -5     T
     1055  0.8900000E+03  0.10000E+01    2     2910     0    -5     T
     1056  0.8910000E+03  0.10000E+01    2     2912     0    -5     T
     1057  0.8920000E+03  0.10000E+01    2     2914     0    -5     T
     1058  0.8925000E+03  0.50000E+00    2     2916     0    -5     T
     1059  0.8930000E+03  0.50000E+00    2     2918     0    -5     T
     1060  0.8935000E+03  0.50000E+00    4     2922     0    -5     T
     1061  0.8940000E+03  0.50000E+00    2     2924     0    -5     T
     1062  0.8950000E+03  0.10000E+01    4     2928     0    -5     T
     1063  0.8960000E+03  0.10000E+01    2     2930     0    -5     T
     1064  0.8965000E+03  0.50000E+00    4     2934     0    -5     T
     1065  0.8970000E+03  0.50000E+00    2     2936     0    -5     T
     1066  0.8980000E+03  0.10000E+01    4     2940     0    -5     T
     1067  0.8990000E+03  0.10000E+01    2     2942     0    -5     T
     1068  0.8995000E+03  0.50000E+00    4     2946     0    -5     T
     1069  0.9000000E+03  0.50000E+00    2     2948     0    -5     T
     1070  0.9010000E+03  0.10000E+01    4     2952     0    -5     T
     1071  0.9020000E+03  0.10000E+01    2     2954     0    -5     T
     1072  0.9025000E+03  0.50000E+00    4     2958     0    -5     T
     1073  0.9030000E+03  0.50000E+00    2     2960     0    -5     T
     1074  0.9040000E+03  0.10000E+01    4     2964     0    -5     T
     1075  0.9050000E+03  0.10000E+01    2     2966     0    -5     T
     1076  0.9060000E+03  0.10000E+01    2     2968     0    -5     T
     1077  0.9070000E+03  0.10000E+01    2     2970     0    -5     T
     1078  0.9080000E+03  0.10000E+01    2     2972     0    -5     T
     1079  0.9090000E+03  0.10000E+01    2     2974     0    -5     T
     1080  0.9100000E+03  0.10000E+01    2     2976     0    -5     T
     1081  0.9110000E+03  0.10000E+01    2     2978     0    -5     T
     1082  0.9120000E+03  0.10000E+01    2     2980     0    -5     T
     1083  0.9130000E+03  0.10000E+01    2     2982     0    -5     T
     1084  0.9140000E+03  0.10000E+01    2     2984     0    -5     T
     1085  0.9150000E+03  0.10000E+01    2     2986     0    -5     T
     1086  0.9160000E+03  0.10000E+01    2     2988     0    -5     T
     1087  0.9170000E+03  0.10000E+01    2     2990     0    -5     T
     1088  0.9180000E+03  0.10000E+01    2     2992     0    -5     T
     1089  0.9185000E+03  0.50000E+00    6     2998     0    -5     T
     1090  0.9190000E+03  0.50000E+00    6     3004     0    -5     T
     1091  0.9200000E+03  0.10000E+01    5     3009     0    -5     T
     1092  0.9205000E+03  0.50000E+00    4     3013     0    -5     T
     1093  0.9210000E+03  0.50000E+00    2     3015     0    -5     T
     1094  0.9220000E+03  0.10000E+01    2     3017     0    -5     T
     1095  0.9230000E+03  0.10000E+01    2     3019     0    -5     T
     1096  0.9240000E+03  0.10000E+01    2     3021     0    -5     T
     1097  0.9250000E+03  0.10000E+01    4     3025     0    -5     T
     1098  0.9260000E+03  0.10000E+01    2     3027     0    -5     T
     1099  0.9265000E+03  0.50000E+00    6     3033     0    -5     T
     1100  0.9270000E+03  0.50000E+00    5     3038     0    -5     T
     1101  0.9275000E+03  0.50000E+00    5     3043     0    -5     T
     1102  0.9280000E+03  0.50000E+00    4     3047     0    -5     T
     1103  0.9290000E+03  0.10000E+01    3     3050     0    -5     T
     1104  0.9300000E+03  0.10000E+01    2     3052     0    -5     T
     1105  0.9310000E+03  0.10000E+01    2     3054     0    -5     T
     1106  0.9315000E+03  0.50000E+00    3     3057     0    -5     T
     1107  0.9320000E+03  0.50000E+00    2     3059     0    -5     T
     1108  0.9330000E+03  0.10000E+01    4     3063     0    -5     T
     1109  0.9335000E+03  0.50000E+00    2     3065     0    -5     T
     1110  0.9340000E+03  0.50000E+00    2     3067     0    -5     T
     1111  0.9350000E+03  0.10000E+01    4     3071     0    -5     T
     1112  0.9355000E+03  0.50000E+00    4     3075     0    -5     T
     1113  0.9360000E+03  0.50000E+00    4     3079     0    -5     T
     1114  0.9370000E+03  0.10000E+01    4     3083     0    -5     T
     1115  0.9380000E+03  0.10000E+01    2     3085     0    -5     T
     1116  0.9390000E+03  0.10000E+01    2     3087     0    -5     T
     1117  0.9400000E+03  0.10000E+01    2     3089     0    -5     T
     1118  0.9405000E+03  0.50000E+00    2     3091     0    -5     T
     1119  0.9410000E+03  0.50000E+00    2     3093     0    -5     T
     1120  0.9420000E+03  0.10000E+01    2     3095     0    -5     T
     1121  0.9430000E+03  0.10000E+01    4     3099     0    -5     T
     1122  0.9440000E+03  0.10000E+01    2     3101     0    -5     T
     1123  0.9445000E+03  0.50000E+00    2     3103     0    -5     T
     1124  0.9450000E+03  0.50000E+00    2     3105     0    -5     T
     1125  0.9455000E+03  0.50000E+00    6     3111     0    -5     T
     1126  0.9460000E+03  0.50000E+00    5     3116     0    -5     T
     1127  0.9470000E+03  0.10000E+01    6     3122     0    -5     T
     1128  0.9480000E+03  0.10000E+01    4     3126     0    -5     T
     1129  0.9485000E+03  0.50000E+00    4     3130     0    -5     T
     1130  0.9490000E+03  0.50000E+00    2     3132     0    -5     T
     1131  0.9500000E+03  0.10000E+01    2     3134     0    -5     T
     1132  0.9510000E+03  0.10000E+01    2     3136     0    -5     T
     1133  0.9520000E+03  0.10000E+01    2     3138     0    -5     T
     1134  0.9530000E+03  0.10000E+01    2     3140     0    -5     T
     1135  0.9540000E+03  0.10000E+01    2     3142     0    -5     T
     1136  0.9550000E+03  0.10000E+01    2     3144     0    -5     T
     1137  0.9560000E+03  0.10000E+01    2     3146     0    -5     T
     1138  0.9570000E+03  0.10000E+01    2     3148     0    -5     T
     1139  0.9580000E+03  0.10000E+01    2     3150     0    -5     T
     1140  0.9590000E+03  0.10000E+01    2     3152     0    -5     T
     1141  0.9600000E+03  0.10000E+01    2     3154     0    -5     T
     1142  0.9610000E+03  0.10000E+01    2     3156     0    -5     T
     1143  0.9620000E+03  0.10000E+01    2     3158     0    -5     T
     1144  0.9625000E+03  0.50000E+00    2     3160     0    -5     T
     1145  0.9630000E+03  0.50000E+00    2     3162     0    -5     T
     1146  0.9640000E+03  0.10000E+01    4     3166     0    -5     T
     1147  0.9650000E+03  0.10000E+01    2     3168     0    -5     T
     1148  0.9660000E+03  0.10000E+01    2     3170     0    -5     T
     1149  0.9670000E+03  0.10000E+01    2     3172     0    -5     T
     1150  0.9680000E+03  0.10000E+01    2     3174     0    -5     T
     1151  0.9690000E+03  0.10000E+01    2     3176     0    -5     T
     1152  0.9700000E+03  0.10000E+01    2     3178     0    -5     T
     1153  0.9710000E+03  0.10000E+01    2     3180     0    -5     T
     1154  0.9720000E+03  0.10000E+01    2     3182     0    -5     T
     1155  0.9725000E+03  0.50000E+00    4     3186     0    -5     T
     1156  0.9730000E+03  0.50000E+00    2     3188     0    -5     T
     1157  0.9740000E+03  0.10000E+01    4     3192     0    -5     T
     1158  0.9750000E+03  0.10000E+01    2     3194     0    -5     T
     1159  0.9760000E+03  0.10000E+01    2     3196     0    -5     T
     1160  0.9770000E+03  0.10000E+01    2     3198     0    -5     T
     1161  0.9780000E+03  0.10000E+01    2     3200     0    -5     T
     1162  0.9790000E+03  0.10000E+01    2     3202     0    -5     T
     1163  0.9795000E+03  0.50000E+00    8     3210     0    -5     T
     1164  0.9800000E+03  0.50000E+00    8     3218     0    -5     T
     1165  0.9805000E+03  0.50000E+00    7     3225     0    -5     T
     1166  0.9807500E+03  0.25000E+00    4     3229     0    -5     T
     1167  0.9810000E+03  0.25000E+00    3     3232     0    -5     T
     1168  0.9812935E+03  0.29345E+00    5     3237     0    -5     T
     1169  0.9816467E+03  0.35327E+00    4     3241     0    -5     T
     1170  0.9820000E+03  0.35327E+00    3     3244     0    -5     T
     1171  0.9823333E+03  0.33333E+00    3     3247     0    -5     T
     1172  0.9830000E+03  0.66667E+00    4     3251     0    -5     T
     1173  0.9835000E+03  0.50000E+00    2     3253     0    -5     T
     1174  0.9840000E+03  0.50000E+00    2     3255     0    -5     T
     1175  0.9844959E+03  0.49593E+00    4     3259     0    -5     T
     1176  0.9850000E+03  0.50407E+00    2     3261     0    -5     T
     1177  0.9854959E+03  0.49593E+00    2     3263     0    -5     T
     1178  0.9860000E+03  0.50407E+00    2     3265     0    -5     T
     1179  0.9865000E+03  0.50000E+00    2     3267     0    -5     T
     1180  0.9870000E+03  0.50000E+00    2     3269     0    -5     T
     1181  0.9880000E+03  0.10000E+01    2     3271     0    -5     T
     1182  0.9890000E+03  0.10000E+01    2     3273     0    -5     T
     1183  0.9900000E+03  0.10000E+01    2     3275     0    -5     T
     1184  0.9905000E+03  0.50000E+00    7     3282     0    -5     T
     1185  0.9910000E+03  0.50000E+00    5     3287     0    -5     T
     1186  0.9915000E+03  0.50000E+00    6     3293     0    -5     T
     1187  0.9920000E+03  0.50000E+00    4     3297     0    -5     T
     1188  0.9925000E+03  0.50000E+00    2     3299     0    -5     T
     1189  0.9930000E+03  0.50000E+00    2     3301     0    -5     T
