

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.000000E+00  0.000000E+00 -0.177533E-08  0.000000E+00 -0.109046E-02     -3.775      0.000     -3.590       1
     2.00000  0.000000E+00  0.000000E+00 -0.158616E-08  0.000000E+00 -0.217963E-02     -3.849      0.000     -3.591       2
     3.00000  0.000000E+00  0.000000E+00 -0.272121E-08  0.000000E+00 -0.326593E-02     -3.929      0.000     -3.594       3
     4.00000 -0.100000E-02  0.000000E+00 -0.100000E-02  0.000000E+00 -0.434731E-02     -3.778      0.000     -3.598       4
     5.00000 -0.200000E-02  0.000000E+00 -0.200000E-02  0.000000E+00 -0.542216E-02     -3.757      0.000     -3.603       5
     6.00000 -0.200000E-02  0.000000E+00 -0.200000E-02  0.000000E+00 -0.648905E-02     -3.912      0.000     -3.610       6
     7.00000 -0.300000E-02  0.000000E+00 -0.300000E-02  0.000000E+00 -0.754675E-02     -3.775      0.000     -3.617       7
     8.00000 -0.300000E-02  0.000000E+00 -0.300000E-02  0.000000E+00 -0.859459E-02     -3.960      0.000     -3.625       8
     9.00000 -0.300000E-02  0.000000E+00 -0.300000E-02  0.000000E+00 -0.963158E-02     -4.017      0.000     -3.634       9
    10.00000 -0.300000E-02  0.000000E+00 -0.300000E-02  0.000000E+00 -0.106568E-01     -4.085      0.000     -3.644      10
    11.00000 -0.300000E-02  0.000000E+00 -0.300000E-02  0.000000E+00 -0.116692E-01     -4.133      0.000     -3.655      11
    12.00000 -0.300000E-02  0.000000E+00 -0.300000E-02  0.000000E+00 -0.126674E-01     -4.178      0.000     -3.666      12
    13.00000 -0.400000E-02  0.000000E+00 -0.400000E-02  0.000000E+00 -0.136505E-01     -3.985      0.000     -3.679      13
    14.00000 -0.400000E-02  0.000000E+00 -0.400000E-02  0.000000E+00 -0.146176E-01     -4.129      0.000     -3.692      14
    15.00000 -0.400000E-02  0.000000E+00 -0.400000E-02  0.000000E+00 -0.155680E-01     -4.197      0.000     -3.706      15
    16.00000 -0.400000E-02  0.000000E+00 -0.400000E-02  0.000000E+00 -0.165014E-01     -4.248      0.000     -3.720      16
    17.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.174173E-01     -4.051      0.000     -3.735      17
    18.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.183158E-01     -4.196      0.000     -3.749      18
    19.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.191967E-01     -4.263      0.000     -3.764      19
    20.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.200602E-01     -4.314      0.000     -3.778      20
    21.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.209061E-01     -4.353      0.000     -3.793      21
    22.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.217344E-01     -4.389      0.000     -3.808      22
    23.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.225448E-01     -4.421      0.000     -3.823      23
    24.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.233370E-01     -4.451      0.000     -3.838      24
    25.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.241114E-01     -4.479      0.000     -3.854      25
    26.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.248773E-01     -4.506      0.000     -3.873      26
    27.00000 -0.500000E-02  0.000000E+00 -0.500000E-02  0.000000E+00 -0.256344E-01     -4.532      0.000     -3.892      27
    28.00000 -0.100071E-01  0.000000E+00 -0.100071E-01  0.000000E+00 -0.263832E-01     -3.526      0.000     -3.910      28
