 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      17.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.91598E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.17417E-01 -0.40510E+01  0.00000E+00 -0.37347E+01  0.00000E+00  0.00000E+00  0.39800E+00  0.00000E+00  0.39254E-08     17  0.00000E+00      0.000
      18.0000  0.00000E+00  0.00000E+00 -0.49477E-09  0.00000E+00 -0.89843E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.18316E-01 -0.41963E+01  0.00000E+00 -0.37493E+01  0.00000E+00  0.00000E+00  0.39710E+00  0.00000E+00  0.39254E-08     18  0.00000E+00      0.000
      19.0000  0.00000E+00  0.00000E+00  0.24011E-09  0.00000E+00 -0.88093E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.19197E-01 -0.42633E+01  0.00000E+00 -0.37639E+01  0.00000E+00  0.00000E+00  0.39622E+00  0.00000E+00  0.41655E-08     19  0.00000E+00      0.000
      20.0000  0.00000E+00  0.00000E+00 -0.14297E-08  0.00000E+00 -0.86345E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.20060E-01 -0.43139E+01  0.00000E+00 -0.37784E+01  0.00000E+00  0.00000E+00  0.39536E+00  0.00000E+00  0.41655E-08     20  0.00000E+00      0.000
      21.0000  0.00000E+00  0.00000E+00  0.27649E-09  0.00000E+00 -0.84594E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.20906E-01 -0.43534E+01  0.00000E+00 -0.37930E+01  0.00000E+00  0.00000E+00  0.39451E+00  0.00000E+00  0.44420E-08     21  0.00000E+00      0.000
      22.0000  0.00000E+00  0.00000E+00  0.18554E-09  0.00000E+00 -0.82827E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.21734E-01 -0.43887E+01  0.00000E+00 -0.38078E+01  0.00000E+00  0.00000E+00  0.39368E+00  0.00000E+00  0.46275E-08     22  0.00000E+00      0.000
      23.0000  0.00000E+00  0.00000E+00 -0.16007E-09  0.00000E+00 -0.81040E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.22545E-01 -0.44209E+01  0.00000E+00 -0.38227E+01  0.00000E+00  0.00000E+00  0.39287E+00  0.00000E+00  0.46275E-08     23  0.00000E+00      0.000
      24.0000  0.00000E+00  0.00000E+00  0.10259E-08  0.00000E+00 -0.79223E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.23337E-01 -0.44509E+01  0.00000E+00 -0.38378E+01  0.00000E+00  0.00000E+00  0.39208E+00  0.00000E+00  0.56534E-08     24  0.00000E+00      0.000
      25.0000  0.00000E+00  0.00000E+00 -0.13897E-08  0.00000E+00 -0.77444E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.24111E-01 -0.44793E+01  0.00000E+00 -0.38536E+01  0.00000E+00  0.00000E+00  0.39130E+00  0.00000E+00  0.56534E-08     25  0.00000E+00      0.000
      26.0000  0.00000E+00  0.00000E+00  0.16371E-09  0.00000E+00 -0.76588E-03 -0.50000E-02  0.00000E+00 -0.50000E-02  0.00000E+00 -0.24877E-01 -0.45062E+01  0.00000E+00 -0.38731E+01  0.00000E+00  0.00000E+00  0.39054E+00  0.00000E+00  0.58171E-08     26  0.00000E+00      0.000
